                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.63597,                 1.0032,                0.87057,                 1.0729,                0.85016,                0.75093,                0.83243,                0.65924,                0.89047,                0.71091,                0.82117,                0.65483,                0.82083,                 1.0042,                 1.0394,                 1.2737,              0.0065969,              0.0065969,              0.0065969
                     24,                0.62687,                 0.9412,                0.85051,                 1.0663,                0.86708,                0.73819,                0.81725,                  0.662,                0.85899,                0.73037,                0.79835,                0.64881,                0.80213,                 1.0101,                 1.0526,                  1.277,              0.0064422,              0.0064422,              0.0064422
                     25,                0.63515,                 1.0014,                0.85864,                  1.082,                0.83424,                0.74325,                0.81151,                0.64812,                0.82328,                0.73556,                0.79935,                0.65481,                0.84093,                 1.0164,                 1.1519,                 1.3343,              0.0062875,              0.0062875,              0.0062875
                     26,                0.59712,                0.91694,                0.79963,                 1.0625,                0.84862,                0.78111,                0.81906,                0.63955,                0.83813,                0.77616,                0.81178,                0.65729,                0.85763,                0.92983,                  1.148,                 1.3308,              0.0061328,              0.0061328,              0.0061328
                     27,                0.59864,                0.91602,                0.78691,                 1.0526,                0.82943,                0.73348,                0.79021,                0.63735,                0.82943,                0.73348,                0.78422,                0.60996,                0.77053,                 1.0495,                 1.1344,                 1.2415,              0.0059781,              0.0059781,              0.0059781
                     28,                 0.5897,                0.96547,                0.78443,                 1.0528,                0.87629,                 0.7101,                0.78885,                0.64404,                0.87629,                 0.7101,                0.78431,                 0.6124,                0.79112,                 1.0246,                  1.175,                  1.267,              0.0058234,              0.0058234,              0.0058234
                     29,                0.60644,                0.95752,                0.78244,                  1.059,                0.89091,                0.74127,                0.81317,                0.66878,                0.88228,                0.73345,                 0.7951,                0.65516,                0.78135,                 1.1071,                 1.0589,                  1.274,              0.0056688,              0.0056688,              0.0056688
                     30,                0.59005,                0.89834,                0.75215,                 1.0436,                0.84929,                0.72631,                0.81551,                0.67959,                0.80349,                0.75602,                0.81305,                 0.6708,                0.73716,                0.89251,                  1.013,                 1.2306,              0.0055141,              0.0055141,              0.0055141
                     31,                0.58854,                0.93364,                0.75985,                 1.0411,                0.91447,                0.81505,                0.84569,                  0.708,                0.91447,                0.81505,                0.84419,                0.71465,                 0.7317,                0.91619,                0.93923,                 1.2019,              0.0053594,              0.0053594,              0.0053594
                     32,                0.55508,                0.88292,                0.71452,                 1.0314,                0.86568,                 0.7619,                0.80842,                0.66876,                0.86568,                 0.7619,                0.80549,                0.67998,                0.75118,                0.89839,                0.96591,                 1.2317,              0.0052047,              0.0052047,              0.0052047
                     33,                0.54871,                0.88082,                0.71089,                 1.0273,                0.79145,                0.79088,                0.80359,                0.66452,                0.79145,                0.79088,                0.80244,                0.66693,                0.77605,                0.96355,                 1.0331,                 1.2493,                0.00505,                0.00505,                0.00505
                     34,                0.54236,                0.89905,                0.68589,                 1.0194,                 0.8693,                0.75761,                0.78767,                0.63852,                0.86396,                0.75537,                0.78334,                0.62576,                0.77852,                0.95821,                 1.0165,                 1.2242,              0.0048953,              0.0048953,              0.0048953
                     35,                0.54428,                0.87553,                0.68805,                 1.0188,                0.90296,                0.73983,                0.82307,                0.68113,                0.90296,                0.73983,                0.81629,                0.68848,                0.70339,                0.88306,                0.98401,                 1.1833,              0.0047406,              0.0047406,              0.0047406
                     36,                0.52399,                0.82986,                0.64324,                 1.0077,                0.90146,                 0.7485,                0.80573,                0.67643,                0.90146,                 0.7485,                0.80452,                0.67949,                0.73489,                0.86701,                0.97311,                 1.2198,              0.0045859,              0.0045859,              0.0045859
                     37,                  0.523,                0.84348,                0.64864,                 1.0097,                0.82863,                0.75396,                0.80366,                0.66049,                0.82863,                0.75396,                0.80211,                0.66191,                0.74744,                0.86953,                 1.0492,                 1.2213,              0.0044313,              0.0044313,              0.0044313
                     38,                0.52196,                0.83667,                0.64345,                 1.0091,                 0.8415,                0.77575,                0.82862,                0.67127,                 0.8415,                0.77575,                0.82536,                0.66953,                0.77228,                0.97566,                 0.9791,                 1.2634,              0.0042766,              0.0042766,              0.0042766
                     39,                0.51635,                0.83229,                  0.636,                 1.0133,                0.86905,                0.74877,                0.81514,                0.67917,                0.85226,                0.76649,                0.80302,                0.67838,                0.74566,                0.92487,                0.96989,                 1.2388,              0.0041219,              0.0041219,              0.0041219
                     40,                0.52871,                0.86235,                0.64569,                 1.0187,                0.80668,                0.76329,                0.79418,                0.66481,                 0.8839,                 0.7143,                0.78689,                0.67564,                0.73827,                0.87376,                0.96912,                 1.2308,              0.0039672,              0.0039672,              0.0039672
                     41,                0.50794,                0.76704,                0.60098,                 1.0015,                0.88869,                0.73293,                0.82246,                0.68608,                0.88869,                0.73293,                0.81744,                0.69757,                 0.7622,                0.98746,                0.92303,                 1.2474,              0.0038125,              0.0038125,              0.0038125
                     42,                0.50457,                 0.7848,                0.60928,                0.99894,                0.91772,                0.74888,                0.83456,                0.69488,                0.91287,                0.74664,                0.82869,                0.69142,                0.73557,                  1.002,                0.86721,                 1.2161,              0.0036578,              0.0036578,              0.0036578
                     43,                0.49605,                0.77804,                0.59086,                0.99433,                0.81548,                0.81101,                0.83823,                0.69764,                0.81069,                0.80878,                0.83386,                0.71321,                0.73481,                 0.8731,                0.89948,                 1.2246,              0.0035031,              0.0035031,              0.0035031
                     44,                0.49345,                0.75004,                0.58168,                 0.9943,                0.84751,                0.77855,                0.82668,                0.69725,                 0.8353,                0.77084,                0.81203,                0.69737,                0.72738,                0.95865,                0.92516,                  1.202,              0.0033484,              0.0033484,              0.0033484
                     45,                0.48334,                0.72947,                 0.5817,                0.99408,                0.86496,                0.81214,                0.84622,                0.70492,                0.86076,                 0.8099,                0.84199,                0.70781,                0.71435,                0.94917,                0.85082,                  1.191,              0.0031938,              0.0031938,              0.0031938
                     46,                0.49505,                0.76384,                0.57294,                0.98816,                0.89753,                0.81062,                0.85985,                0.72355,                0.89717,                 0.8074,                0.85814,                0.72623,                0.70977,                0.88428,                0.81129,                 1.2042,              0.0030391,              0.0030391,              0.0030391
                     47,                0.46977,                0.74373,                0.55356,                0.98123,                0.90689,                0.78268,                0.84061,                0.70949,                 0.9017,                0.78045,                 0.8372,                0.70347,                 0.7139,                0.85805,                0.87031,                 1.2051,              0.0028844,              0.0028844,              0.0028844
                     48,                 0.4798,                0.73605,                0.57181,                  0.985,                0.90641,                0.83795,                0.86902,                0.74534,                0.90091,                0.83587,                0.86013,                 0.7434,                0.65424,                0.83596,                0.76425,                 1.1446,              0.0027297,              0.0027297,              0.0027297
                     49,                0.46091,                0.75362,                0.54641,                0.98133,                 0.9049,                0.82549,                0.86668,                0.72493,                 0.9049,                0.82549,                0.86611,                0.72406,                0.72306,                0.88549,                0.80146,                 1.2004,               0.002575,               0.002575,               0.002575
                     50,                0.46776,                0.73206,                0.54239,                0.98262,                0.88368,                0.83351,                0.86095,                 0.7371,                0.87938,                0.83128,                0.85808,                0.73672,                 0.6783,                0.80371,                0.79945,                 1.1665,              0.0024203,              0.0024203,              0.0024203
                     51,                0.44854,                0.72693,                0.53142,                0.97468,                0.81719,                0.80187,                0.81035,                0.69127,                0.81229,                0.80737,                0.80896,                 0.6845,                0.71679,                0.95459,                0.93995,                 1.1909,              0.0022656,              0.0022656,              0.0022656
                     52,                0.46341,                0.72468,                0.53927,                0.98186,                 0.8747,                0.76937,                0.82787,                0.71134,                 0.8747,                0.76937,                0.82627,                0.71495,                0.68555,                0.84229,                0.88171,                 1.1736,              0.0021109,              0.0021109,              0.0021109
                     53,                0.44557,                0.71028,                0.52954,                0.96903,                0.87747,                0.80092,                0.85186,                0.71972,                0.87747,                0.80092,                0.85032,                  0.719,                0.69439,                0.83766,                0.85082,                 1.1752,              0.0019563,              0.0019563,              0.0019563
                     54,                0.40608,                0.56898,                0.57834,                0.98996,                0.91706,                0.79646,                0.86062,                0.71932,                0.90569,                0.79199,                0.85359,                0.71919,                0.72878,                0.85054,                0.85599,                 1.2077,              0.0018016,              0.0018016,              0.0018016
                     55,                 0.3971,                0.55645,                 0.5488,                0.98147,                0.91033,                0.82105,                0.87217,                0.73064,                0.91033,                0.82105,                0.87085,                0.73997,                0.72478,                0.82781,                0.83076,                 1.2204,              0.0016469,              0.0016469,              0.0016469
                     56,                0.38335,                0.49928,                0.52201,                0.96731,                0.90873,                0.81756,                0.87223,                0.74703,                0.90873,                0.81756,                0.87127,                0.74957,                0.67704,                0.84717,                0.76681,                 1.1663,              0.0014922,              0.0014922,              0.0014922
                     57,                0.37964,                 0.4693,                0.50598,                0.96116,                0.86506,                0.86959,                0.86892,                0.75214,                0.86506,                0.86959,                0.87181,                0.74924,                0.65609,                0.82226,                0.75395,                 1.1502,              0.0013375,              0.0013375,              0.0013375
                     58,                0.35816,                0.48856,                0.48142,                0.94883,                0.89608,                0.83158,                0.86837,                0.74456,                0.92561,                0.80635,                0.86639,                0.74301,                0.67183,                0.87703,                0.74825,                 1.1686,              0.0011828,              0.0011828,              0.0011828
                     59,                0.36266,                0.47624,                 0.4866,                0.96194,                0.87744,                0.82827,                0.86262,                0.74734,                0.87207,                0.82604,                 0.8598,                0.73969,                0.69959,                0.86324,                0.74175,                 1.1898,              0.0010281,              0.0010281,              0.0010281
                     60,                0.34855,                0.46341,                0.47778,                0.94893,                  0.924,                0.81866,                0.86699,                0.74666,                 0.9129,                 0.8143,                0.86272,                0.74386,                0.66307,                0.84503,                0.76115,                 1.1583,             0.00087344,             0.00087344,             0.00087344
                     61,                0.35177,                0.46813,                0.45861,                 0.9542,                0.92009,                0.82161,                0.86751,                0.74076,                0.91426,                0.81938,                0.86458,                0.74572,                0.69588,                0.91627,                0.72688,                 1.1809,             0.00071875,             0.00071875,             0.00071875
                     62,                0.33349,                0.42954,                0.43843,                0.94294,                0.89487,                0.84349,                0.87181,                0.76229,                0.89309,                0.83454,                0.86772,                0.74782,                0.65745,                 1.0028,                0.70602,                 1.1524,             0.00056406,             0.00056406,             0.00056406
                     63,                0.32682,                0.42388,                0.42971,                0.93642,                0.86474,                 0.8548,                0.86402,                  0.743,                0.86924,                0.84341,                0.85999,                0.74482,                0.65728,                0.98047,                0.71201,                 1.1515,             0.00040938,             0.00040938,             0.00040938
